iter	DF_CAA	DF_DAA	CF_CAA	CF_DAA
0	0.505	0.512	0.5218	0.5145
200	0.8426	0.8625	0.5288	0.6724
400	0.8499	0.7269	0.6382	0.7474
1600	0.6246	0.634	0.3626	0.4184
6400	0.3219	0.4438	0.2148	0.2723
25600	0.2254	0.3218	0.1449	0.2156
102400	0.2017	0.2293	0.1287	0.1407
204800	0.1452	0.2087	0.114	0.1286
409600	0.1367	0.1668	0.1085	0.1161
819200	0.1198	0.1253	0.1139	0.1142
1000000	0.1075	0.1356	0.1035	0.1055
1228800	0.1052	0.1176	0.1058	0.1095
1638400	0.1034	0.1052	0.1045	0.1104
2000000	0.1055	0.1172	0.108	0.1033
3000000	0.1042	0.1032	0.1038	0.0973
