iter	DF_CAA	CF_CAA	DF_DAA	CF_DAA
0	0.491	0.4818	0.496	0.4943
400	0.9384	0.647	0.7668	0.7581
800	0.8184	0.5152	0.7563	0.5186
1600	0.5918	0.3401	0.6624	0.3384
3200	0.3557	0.2546	0.443	0.2586
6400	0.1859	0.1706	0.2794	0.2135
12800	0.1681	0.173	0.2436	0.1768
25600	0.1166	0.1213	0.1846	0.1648
51200	0.1213	0.1281	0.2051	0.1504
102400	0.128	0.117	0.1467	0.1284
153600	0.1396	0.1118	0.1598	0.1203
204800	0.1191	0.1217	0.1395	0.1139
307200	0.1006	0.1162	0.1366	0.1125
409600	0.0906	0.1197	0.113	0.0972
614400	0.1033	0.1155	0.1076	0.0975
819200	0.1187	0.1024	0.0915	0.0934
1000000	0.1146	0.1022	0.095	0.0978
